0,50,40,94267,113162,15233,4756,9402,15109,6350,2426
0,51,26,0,29,53,959694,45080,19263,54042,22634,11447,4077,2775
0,37,66,1958010,88195,35828,30440,16456,16158,11234,4523
0,48,83,497061,138143,25934,36548,42485,33499,4790,4095
0,54,74,139853,65810,4497,9012,16318,16389,2331,2649
0,54,57,239079,82511,17869,13289,10474,11868,14948,3861
0,41,43,336524,102591,19044,5232,6014,3526,6918,5362
0,26,41,73081,50479,11417,2029,3475,2453,276,246
0,10,61,463145,101111,40742,21983,2843,6251,3129,1928
0,20,57,118207,50632,11286,7121,11949,18993,50831,16953
0,40,74,89943,22332,10004,15312,5898,9373,7077,9959
0,50,74,4479,43831,3858,11359,8517,6648,4462,3951
0,44,53,446339,206341,13230,18643,15085,5876,9462,4522
0,51,69,33055,6159,11913,3406,3809,11658,4844,4871
0,61,64,26543,8203,4448,5563,1612,11194,6501,4584
0,61,75,142741,45773,5172,29572,17512,8068,13456,7315
0,80,88,288415,51134,9843,18119,451,14291,6444,6704
0,56,60,634467,780205,54030,22458,19340,37602,40335,16588
0,44,60,1014023,50167,24568,25068,36465,17977,20647,29474
0,53,54,122197,52493,15191,12502,5540,20436,35568,53550
0,51,63,128006,2904,2210,807,340,871,2550,1246
0,56,75,2160361,200158,25629,30031,12963,21805,26310,40681
0,60,84,895214,8565,4133,13810,5442,5982,4061,4883
0,56,80,1563012,47713,3022,15423,6938,13843,19126,12238
0,61,66,30130,8083,1304,1809,1778,2490,7871,4023
0,87,60,12862,7048,2816,3506,9178,32503,17243,25572
0,81,34,385813,168932,16496,16045,13730,41852,26085,24019
0,74,43,681388,40204,9910,17955,2537,7574,6169,20343
0,51,43,80572,39941,9326,1316,2191,1598,1458,1464
0,21,61,881162,28362,15407,2174,2190,2321,3282,1847
0,7,67,321523,100676,8768,17523,9579,4381,5001,1691
0,1,53,1112579,183847,30378,9765,9105,6118,12980,10920
0,1,56,2007888,217487,50349,16271,6353,5675,27771,12379
0,1,48,664551,113018,36883,4648,11997,9173,5412,5208
0,1,54,274354,8599,1761,1950,1243,1020,4827,2066
0,1,44,361936,693937,14327,51710,28737,13780,81796,33013
0,14,37,1301834,106004,15081,9150,6995,26188,45240,25174
0,10,23,342131,151424,14284,2424,1133,5329,7630,4136
0,21,10,205607,23045,2100,2728,2058,9044,5144,6225
0,37,20,2464454,166140,30298,11661,34182,23361,32377,30299
0,35,29,267797,48300,12181,12880,11705,10667,12532,3314
0,53,41,103320,39992,13274,3245,6990,18428,27344,15992
0,44,60,1133337,61321,40707,7864,20001,11381,47667,10920
0,40,77,201552,109625,36714,51278,18346,14427,15233,37587
0,41,64,156137,47832,4627,5451,4757,9287,4440,8586
0,41,53,34809,51791,5687,5145,11818,22167,9844,16413
0,35,56,320553,98690,36869,31696,13604,8728,19858,20988
0,54,29,22274,5757,1128,650,6373,5240,4680,3571
0,54,43,586520,85033,13559,40671,32799,22778,50045,31973
0,43,41,235729,190072,12090,13251,10831,21899,28935,14393
